,Brewery,City,State,Beer,ABV,IBU,Style,Ounces
1,King Street Brewing Company,Anchorage, AK,Amber Ale,0.051,NA,American Amber / Red Ale,12
2,King Street Brewing Company,Anchorage, AK,King Street Blonde Ale,0.049,NA,American Blonde Ale,12
3,King Street Brewing Company,Anchorage, AK,King Street Pilsner,0.055,NA,Czech Pilsener,12
4,King Street Brewing Company,Anchorage, AK,King Street IPA,0.06,70,American IPA,12
5,King Street Brewing Company,Anchorage, AK,King Street Hefeweizen,0.057,10,Hefeweizen,12
6,Midnight Sun Brewing Company,Anchorage, AK,Pleasure Town IPA,0.063,61,American IPA,12
7,Midnight Sun Brewing Company,Anchorage, AK,Kodiak Brown Ale,0.05,24,American Brown Ale,12
8,Midnight Sun Brewing Company,Anchorage, AK,Sockeye Red IPA,0.057,70,American IPA,12
9,Midnight Sun Brewing Company,Anchorage, AK,Snowshoe White Ale,0.048,12,Witbier,12
10,Midnight Sun Brewing Company,Anchorage, AK,Pleasure Town,0.063,61,American IPA,12
11,Alaskan Brewing Company,Juneau, AK,Alaskan Amber,0.053,18,Altbier,12
12,Alaskan Brewing Company,Juneau, AK,Freeride APA,0.053,40,American Pale Ale (APA),12
13,Denali Brewing Company,Talkeetna, AK,Single Engine Red,0.058,46,Irish Red Ale,12
14,Denali Brewing Company,Talkeetna, AK,Chuli Stout,0.059,55,Irish Dry Stout,12
15,Denali Brewing Company,Talkeetna, AK,Mother Ale,0.056,46,American Blonde Ale,12
16,Denali Brewing Company,Talkeetna, AK,Twister Creek India Pale Ale,0.065,71,American IPA,12
17,Kenai River Brewing Company,Soldotna, AK,Skilak Scottish Ale,0.058,NA,Scottish Ale,12
18,Kenai River Brewing Company,Soldotna, AK,Peninsula Brewers Reserve (PBR),0.05,15,American Blonde Ale,12
19,Kenai River Brewing Company,Soldotna, AK,Skilak Scottish Ale (2011),0.058,NA,Scottish Ale,12
20,Kenai River Brewing Company,Soldotna, AK,Sunken Island IPA,0.068,NA,American IPA,12
21,Broken Tooth Brewing Company,Anchorage, AK,Chugach Session Ale,0.048,NA,Cream Ale,12
22,Broken Tooth Brewing Company,Anchorage, AK,Polar Pale Ale,0.052,17,American Pale Ale (APA),12
